	Stock	Correlated_Stock	Correlation_Value
112	YKBNK.IS	AGHOL.IS	0.9862383615120042
113	PRKME.IS	PNSUT.IS	0.9861897795988591
114	ALGYO.IS	GSDHO.IS	0.9860295740288547
115	AKCNS.IS	YEOTK.IS	0.9859964778608358
116	THYAO.IS	TEZOL.IS	0.9859502162376157
117	PNSUT.IS	GSDHO.IS	0.985892587429846
118	MGROS.IS	AGHOL.IS	0.9858666717857557
119	IPEKE.IS	GSDHO.IS	0.9858593363276229
120	RYGYO.IS	TRGYO.IS	0.9858472510899355
121	ASELS.IS	AYGAZ.IS	0.9858388551841429
122	KCHOL.IS	DOAS.IS	0.9858132813885156
123	BIMAS.IS	AGHOL.IS	0.9858077160199071
124	PRKME.IS	OZKGY.IS	0.9857884969424202
125	FROTO.IS	DOAS.IS	0.9857024088158005
126	MAVI.IS	MGROS.IS	0.9856646580484667
127	BIMAS.IS	ISCTR.IS	0.9856264765885366
128	BOBET.IS	SOKM.IS	0.9856144369902035
129	TCELL.IS	DOAS.IS	0.9855844240327256
130	TUPRS.IS	OTKAR.IS	0.9855700998376491
131	BIMAS.IS	MAVI.IS	0.9855376504272854
132	ENJSA.IS	RYGYO.IS	0.9855370888147451
133	ACSEL.IS	BRISA.IS	0.9855198581391149
134	CCOLA.IS	OTKAR.IS	0.9854730812247238
135	DOAS.IS	TRGYO.IS	0.9854460843414963
136	TTRAK.IS	RYSAS.IS	0.9854052167882937
137	THYAO.IS	ECILC.IS	0.9853484797392399
138	KCHOL.IS	CCOLA.IS	0.9853456897104442
139	SAHOL.IS	AEFES.IS	0.985323358949911
140	GARAN.IS	TUPRS.IS	0.9853195216058046
141	TUPRS.IS	AYGAZ.IS	0.9852949588341805
142	ASTOR.IS	ALFAS.IS	0.9852645471684386
143	TUPRS.IS	AEFES.IS	0.9852382685962415
144	BIMAS.IS	TCELL.IS	0.9852094488001643
145	GARFA.IS	BRKSN.IS	0.9852037027835118
146	SAHOL.IS	TTKOM.IS	0.9850819213499681
147	YKBNK.IS	TRGYO.IS	0.9850467228224443
148	ENJSA.IS	TRGYO.IS	0.9850225088424943
